,index,count,timeStamp,activity,time,perc
387,3,1202.0,65,Housework,1970-01-01 02:05:00,1.63
388,4,460.0,65,Child Care,1970-01-01 02:05:00,0.62
389,5,74.0,65,Adult Care,1970-01-01 02:05:00,0.1
390,10,67247.0,66,Leisure,1970-01-01 02:06:00,91.17
391,6,3036.0,66,Work and Education,1970-01-01 02:06:00,4.12
392,11,1791.0,66,Travel and Other,1970-01-01 02:06:00,2.43
393,3,1142.0,66,Housework,1970-01-01 02:06:00,1.55
394,4,463.0,66,Child Care,1970-01-01 02:06:00,0.63
395,5,79.0,66,Adult Care,1970-01-01 02:06:00,0.11
396,10,67247.0,67,Leisure,1970-01-01 02:07:00,91.17
397,6,3038.0,67,Work and Education,1970-01-01 02:07:00,4.12
398,11,1794.0,67,Travel and Other,1970-01-01 02:07:00,2.43
399,3,1139.0,67,Housework,1970-01-01 02:07:00,1.54
400,4,462.0,67,Child Care,1970-01-01 02:07:00,0.63
401,5,78.0,67,Adult Care,1970-01-01 02:07:00,0.11
402,10,67251.0,68,Leisure,1970-01-01 02:08:00,91.18
403,6,3044.0,68,Work and Education,1970-01-01 02:08:00,4.13
404,11,1788.0,68,Travel and Other,1970-01-01 02:08:00,2.42
405,3,1136.0,68,Housework,1970-01-01 02:08:00,1.54
406,4,464.0,68,Child Care,1970-01-01 02:08:00,0.63
407,5,75.0,68,Adult Care,1970-01-01 02:08:00,0.1
408,10,67262.0,69,Leisure,1970-01-01 02:09:00,91.19
409,6,3050.0,69,Work and Education,1970-01-01 02:09:00,4.14
410,11,1777.0,69,Travel and Other,1970-01-01 02:09:00,2.41
411,3,1132.0,69,Housework,1970-01-01 02:09:00,1.53
412,4,462.0,69,Child Care,1970-01-01 02:09:00,0.63
413,5,75.0,69,Adult Care,1970-01-01 02:09:00,0.1
414,10,67262.0,70,Leisure,1970-01-01 02:10:00,91.19
415,6,3051.0,70,Work and Education,1970-01-01 02:10:00,4.14
416,11,1780.0,70,Travel and Other,1970-01-01 02:10:00,2.41
417,3,1131.0,70,Housework,1970-01-01 02:10:00,1.53
418,4,460.0,70,Child Care,1970-01-01 02:10:00,0.62
419,5,74.0,70,Adult Care,1970-01-01 02:10:00,0.1
420,10,67182.0,71,Leisure,1970-01-01 02:11:00,91.08
